certificate_weighting,champion_selection_certificate_coverage,checkpoints,evaluation_pairs,occupancy_refinement_bundle,paired_return_delta,postselection_heldout_certificate_coverage,study_id
False,"{""bootstrap"":{""ci95_high"":0.9981603696475099,""ci95_low"":0.9660552694637317,""episode_scope"":""champion selection occupancy"",""estimate"":0.9825119850295647,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":11849149008135926872},""denominator"":103671,""numerator"":101858}",5,500,False,"{""ci95_high"":0.9260999999999985,""ci95_low"":-226.79755,""episode_scope"":""post-selection paired evaluation"",""estimate"":-82.968,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":10719917252846712558}","{""bootstrap_not_computed"":""held-out receipts retain checkpoint totals but no per-episode certificate rows"",""certified_mismatches"":0,""denominator"":205855,""numerator"":201770}",expanded-cartpole-ablation-modal-004--ablation-cartpole-unweighted-unrefined
False,"{""bootstrap"":{""ci95_high"":0.9999167009169708,""ci95_low"":0.9774158554106899,""episode_scope"":""champion selection occupancy"",""estimate"":0.9901145406120815,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":351534101413962184},""denominator"":122402,""numerator"":121192}",5,500,True,"{""ci95_high"":1.6620499999999994,""ci95_low"":-14.62025,""episode_scope"":""post-selection paired evaluation"",""estimate"":-3.6759999999999997,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":13511874390624935576}","{""bootstrap_not_computed"":""held-out receipts retain checkpoint totals but no per-episode certificate rows"",""certified_mismatches"":0,""denominator"":245501,""numerator"":242990}",expanded-cartpole-ablation-modal-004--ablation-cartpole-unweighted-refined
True,"{""bootstrap"":{""ci95_high"":1.0,""ci95_low"":0.9703365265638805,""episode_scope"":""champion selection occupancy"",""estimate"":0.9860438956758312,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":5831245458544072799},""denominator"":76454,""numerator"":75387}",5,500,False,"{""ci95_high"":-29.932050000000032,""ci95_low"":-362.31915000000004,""episode_scope"":""post-selection paired evaluation"",""estimate"":-195.75600000000003,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":13269814036096340648}","{""bootstrap_not_computed"":""held-out receipts retain checkpoint totals but no per-episode certificate rows"",""certified_mismatches"":0,""denominator"":149461,""numerator"":147368}",expanded-cartpole-ablation-modal-004--ablation-cartpole-weighted-unrefined
True,"{""bootstrap"":{""ci95_high"":1.0,""ci95_low"":0.9659337308458085,""episode_scope"":""champion selection occupancy"",""estimate"":0.9872326777234023,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":17466849190167573927},""denominator"":96653,""numerator"":95419}",5,500,True,"{""ci95_high"":10.21869999999999,""ci95_low"":-250.218,""episode_scope"":""post-selection paired evaluation"",""estimate"":-107.80999999999999,""method"":""matched checkpoint then episode percentile bootstrap"",""repetitions"":10000,""seed"":417548215665226429}","{""bootstrap_not_computed"":""held-out receipts retain checkpoint totals but no per-episode certificate rows"",""certified_mismatches"":0,""denominator"":193434,""numerator"":190971}",expanded-cartpole-ablation-modal-004--ablation-cartpole-weighted-refined
